dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,step,fraction,fraction_mean
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,56,0.9825613498687744,0.9964843988418579
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,57,0.9819433689117432,0.9919769167900085
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,58,0.9761582016944885,0.9963151216506958
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,59,0.9822374582290649,0.997319221496582
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,60,0.9808765053749084,0.9869587421417236
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,61,0.98204505443573,0.9983351826667786
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,62,0.9823794960975647,0.9905619621276855
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,63,0.9834601879119873,0.9969443082809448
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,64,0.983292818069458,0.9913806915283203
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,65,0.9855117797851562,0.9880046844482422
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,66,0.9855047464370728,0.996628999710083
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,67,0.9861135482788086,0.9672971963882446
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,68,0.9845370054244995,0.9889907240867615
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,69,0.9848308563232422,0.9946181774139404
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,70,0.983737587928772,0.9936808943748474
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,71,0.9838647842407227,0.9966571927070618
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,72,0.984761118888855,0.9966065287590027
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,73,0.9841576814651489,0.9939723014831543
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,74,0.9833550453186035,0.9812363982200623
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,75,0.9840686917304993,0.9976130723953247
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,76,0.9856390357017517,0.9968357086181641
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,77,0.9851666688919067,0.9456758499145508
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,78,0.9856424331665039,0.9893175959587097
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,79,0.9846695065498352,0.9922760128974915
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,80,0.9844422340393066,0.967448890209198
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,81,0.9859981536865234,0.9954866766929626
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,82,0.9851147532463074,0.9267241954803467
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,83,0.9829283952713013,0.9878491163253784
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,84,0.9835585355758667,0.9362718462944031
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,85,0.9845813512802124,0.9794509410858154
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,86,0.984704852104187,0.9757151007652283
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,87,0.9840468168258667,0.9506748914718628
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,88,0.985094428062439,0.9885656833648682
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,89,0.9846799969673157,0.9979162216186523
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,90,0.9844264984130859,0.9961515665054321
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,91,0.9856690168380737,0.9943432211875916
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,92,0.9833794832229614,0.9972766041755676
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,93,0.9846915006637573,0.9937475919723511
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,94,0.9843074083328247,0.9950932860374451
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,95,0.9831880331039429,0.998248815536499
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,96,0.9847095012664795,0.9503503441810608
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,97,0.9854651093482971,0.9971771240234375
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,98,0.9853995442390442,0.9845568537712097
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,99,0.9846521615982056,0.997864842414856
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,100,0.9848754405975342,0.9987483620643616
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,101,0.9856367111206055,0.9936610460281372
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,102,0.9857720136642456,0.998477041721344
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,103,0.9855918884277344,0.9899752736091614
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,104,0.9838875532150269,0.9991188645362854
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,105,0.9850879907608032,0.9965757131576538
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,106,0.986703634262085,0.9992029070854187
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,107,0.9855972528457642,0.9980162382125854
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,108,0.9822403192520142,0.9988160729408264
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,109,0.9846007823944092,0.9984365105628967
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,110,0.9857273101806641,0.9986713528633118
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,111,0.9863812327384949,0.9990316033363342
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,112,0.9840652346611023,0.997290849685669
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,113,0.9839181900024414,0.9987717270851135
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,114,0.9833224415779114,0.995413601398468
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,115,0.9862825274467468,0.9987100958824158
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,116,0.9854494333267212,0.9984257817268372
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,117,0.9844256639480591,0.9652189016342163
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,118,0.9827247858047485,0.9987123012542725
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,119,0.9832845330238342,0.9940101504325867
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,120,0.985136091709137,0.9970770478248596
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,121,0.9853559732437134,0.9980711340904236
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,122,0.9855893850326538,0.9971802830696106
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,123,0.9838298559188843,0.9966188669204712
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,124,0.9835844039916992,0.9984951019287109
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,125,0.9843000769615173,0.9955071806907654
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,126,0.9831268787384033,0.9977455735206604
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,127,0.984597384929657,0.9838687181472778
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,128,0.9840129613876343,0.995924711227417
