dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,epoch,step,loss
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,74,1.5557745695114136
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,75,1.5544958114624023
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,76,1.4777963161468506
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,77,1.4284857511520386
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,78,1.454228401184082
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,79,1.3650504350662231
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,80,1.523627519607544
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,81,1.4620832204818726
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,82,1.3914047479629517
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,83,1.3111599683761597
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,84,1.3704546689987183
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,85,1.3642362356185913
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,86,1.264187216758728
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,87,1.3335825204849243
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,88,1.3552560806274414
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,89,1.312174916267395
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,90,1.3772876262664795
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,91,1.2891064882278442
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,92,1.2524316310882568
